Geslacht;Leeftijd;LeeftijdNaam;BurgerlijkeStaat;RegioS;RegioNaam;Perioden;BevolkingOp1Januari_1
TotaalManVrouw;10010;0 jaar;Gehuwd;GM0534;Hillegom;2021;0
TotaalManVrouw;10010;0 jaar;Gehuwd;GM1884;Kaag en Braassem;2021;0
TotaalManVrouw;10010;0 jaar;Gehuwd;GM0537;Katwijk;2021;0
TotaalManVrouw;10010;0 jaar;Gehuwd;GM0546;Leiden;2021;0
TotaalManVrouw;10010;0 jaar;Gehuwd;GM0547;Leiderdorp;2021;0
TotaalManVrouw;10010;0 jaar;Gehuwd;GM1916;Leidschendam-Voorburg;2021;0
TotaalManVrouw;10010;0 jaar;Gehuwd;GM0553;Lisse;2021;0
TotaalManVrouw;10010;0 jaar;Gehuwd;GM0575;Noordwijk;2021;0
TotaalManVrouw;10010;0 jaar;Gehuwd;GM0576;Noordwijkerhout;2021;0
TotaalManVrouw;10010;0 jaar;Gehuwd;GM0579;Oegstgeest;2021;0
TotaalManVrouw;10010;0 jaar;Gehuwd;GM1525;Teylingen;2021;0
TotaalManVrouw;10010;0 jaar;Gehuwd;GM0629;Wassenaar;2021;0
TotaalManVrouw;10010;0 jaar;Gehuwd;GM0473;Zandvoort;2021;0
TotaalManVrouw;10010;0 jaar;Gehuwd;GM0638;Zoeterwoude;2021;0
TotaalManVrouw;10010;0 jaar;Verweduwd;GM0484;Alphen aan den Rijn;2021;0
TotaalManVrouw;10010;0 jaar;Verweduwd;GM0377;Bloemendaal;2021;0
TotaalManVrouw;10010;0 jaar;Verweduwd;GM0392;Haarlem;2021;0
TotaalManVrouw;10010;0 jaar;Verweduwd;GM0393;Haarlemmerliede en Spaarnwoude;2021;0
TotaalManVrouw;10010;0 jaar;Verweduwd;GM0394;Haarlemmermeer;2021;0
TotaalManVrouw;10010;0 jaar;Verweduwd;GM0397;Heemstede;2021;0
TotaalManVrouw;10010;0 jaar;Verweduwd;GM0534;Hillegom;2021;0
TotaalManVrouw;10010;0 jaar;Verweduwd;GM1884;Kaag en Braassem;2021;0
TotaalManVrouw;10010;0 jaar;Verweduwd;GM0537;Katwijk;2021;0
TotaalManVrouw;10010;0 jaar;Verweduwd;GM0546;Leiden;2021;0
TotaalManVrouw;10010;0 jaar;Verweduwd;GM0547;Leiderdorp;2021;0
TotaalManVrouw;10010;0 jaar;Verweduwd;GM1916;Leidschendam-Voorburg;2021;0
TotaalManVrouw;10010;0 jaar;Verweduwd;GM0553;Lisse;2021;0
TotaalManVrouw;10010;0 jaar;Verweduwd;GM0575;Noordwijk;2021;0
TotaalManVrouw;10010;0 jaar;Verweduwd;GM0576;Noordwijkerhout;2021;0
TotaalManVrouw;10010;0 jaar;Verweduwd;GM0579;Oegstgeest;2021;0
TotaalManVrouw;10010;0 jaar;Verweduwd;GM1525;Teylingen;2021;0
TotaalManVrouw;10010;0 jaar;Verweduwd;GM0629;Wassenaar;2021;0
TotaalManVrouw;10010;0 jaar;Verweduwd;GM0473;Zandvoort;2021;0
TotaalManVrouw;10010;0 jaar;Verweduwd;GM0638;Zoeterwoude;2021;0
TotaalManVrouw;10010;0 jaar;Gescheiden;GM0484;Alphen aan den Rijn;2021;0
TotaalManVrouw;10010;0 jaar;Gescheiden;GM0377;Bloemendaal;2021;0
TotaalManVrouw;10010;0 jaar;Gescheiden;GM0392;Haarlem;2021;0
TotaalManVrouw;10010;0 jaar;Gescheiden;GM0393;Haarlemmerliede en Spaarnwoude;2021;0
TotaalManVrouw;10010;0 jaar;Gescheiden;GM0394;Haarlemmermeer;2021;0
TotaalManVrouw;10010;0 jaar;Gescheiden;GM0397;Heemstede;2021;0
TotaalManVrouw;10010;0 jaar;Gescheiden;GM0534;Hillegom;2021;0
TotaalManVrouw;10010;0 jaar;Gescheiden;GM1884;Kaag en Braassem;2021;0
TotaalManVrouw;10010;0 jaar;Gescheiden;GM0537;Katwijk;2021;0
TotaalManVrouw;10010;0 jaar;Gescheiden;GM0546;Leiden;2021;0
TotaalManVrouw;10010;0 jaar;Gescheiden;GM0547;Leiderdorp;2021;0
TotaalManVrouw;10010;0 jaar;Gescheiden;GM1916;Leidschendam-Voorburg;2021;0
TotaalManVrouw;10010;0 jaar;Gescheiden;GM0553;Lisse;2021;0
TotaalManVrouw;10010;0 jaar;Gescheiden;GM0575;Noordwijk;2021;0
TotaalManVrouw;10010;0 jaar;Gescheiden;GM0576;Noordwijkerhout;2021;0
TotaalManVrouw;10010;0 jaar;Gescheiden;GM0579;Oegstgeest;2021;0
TotaalManVrouw;10010;0 jaar;Gescheiden;GM1525;Teylingen;2021;0
TotaalManVrouw;10010;0 jaar;Gescheiden;GM0629;Wassenaar;2021;0
TotaalManVrouw;10010;0 jaar;Gescheiden;GM0473;Zandvoort;2021;0
TotaalManVrouw;10010;0 jaar;Gescheiden;GM0638;Zoeterwoude;2021;0
TotaalManVrouw;10100;1 jaar;Totaal burgelijke staat;GM0484;Alphen aan den Rijn;2021;1124
TotaalManVrouw;10100;1 jaar;Totaal burgelijke staat;GM0377;Bloemendaal;2021;165
TotaalManVrouw;10100;1 jaar;Totaal burgelijke staat;GM0392;Haarlem;2021;1824
TotaalManVrouw;10100;1 jaar;Totaal burgelijke staat;GM0393;Haarlemmerliede en Spaarnwoude;2021;0
TotaalManVrouw;10100;1 jaar;Totaal burgelijke staat;GM0394;Haarlemmermeer;2021;1467
TotaalManVrouw;10100;1 jaar;Totaal burgelijke staat;GM0397;Heemstede;2021;275
TotaalManVrouw;10100;1 jaar;Totaal burgelijke staat;GM0534;Hillegom;2021;229
TotaalManVrouw;10100;1 jaar;Totaal burgelijke staat;GM1884;Kaag en Braassem;2021;298
TotaalManVrouw;10100;1 jaar;Totaal burgelijke staat;GM0537;Katwijk;2021;736
